businessname,dbaname,address,city,state,zip,licstatus,licensecat,descript,license_add_dt_tm,dayphn_cleaned,property_id,latitude,longitude
Marseille,,560 Harrison,Roxbury,MA,2118,Active,FS,Eating & Drinking,2023-04-04 14:16:54.83+00,8572770366,69986,42.34080953,-71.06744051
Maryann's Breakfast & Lunch,,223 Grove,West Roxbury,MA,2132,Active,FT,Eating & Drinking w/ Take Out,2007-10-16 14:42:04+00,6172598217,67418,42.26189967,-71.15742089
Mass Bay Lines/Freedom,,60 Rowes,Boston,MA,2110,Active,FS,Eating & Drinking,2006-12-07 18:35:27+00,6179510700,156112,42.35587685,-71.04992696
MASS EYE AND EAR INFIRMARY,,243 Charles,Boston,MA,2114,Active,FS,Eating & Drinking,2006-12-07 18:35:30+00,5733145,29143,42.36274954,-71.07009046
Mass Gen. Hosp./Tea Leaves & Coffee Beans,,55 Fruit,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2009-05-01 17:00:58+00,6177262520,155723,42.36319724,-71.06877197
Mass General Hospital Cafe,,55 Fruit,Boston,MA,2114,Active,FS,Eating & Drinking,2006-12-07 18:34:01+00,6177262000,155723,42.36319724,-71.06877197
Mass General Hospital/Coffee Central,,55 Fruit,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2009-05-01 17:44:19+00,6177262520,,34.24438675,-73.6513909
Massachusetts Eye & Ear EyeOpener Cafe,,800 Huntington,Boston,MA,2115,Active,FT,Eating & Drinking w/ Take Out,2012-08-20 13:56:04+00,6175733954,166438,42.33306382,-71.10757217
Massachusetts Eye & Ear Infirmary Eye Opener Cafe,,243 Charles,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2010-03-24 18:37:37+00,6175733147,163139,42.36276526,-71.07030194
MassArt Eat Cafe,,625 Huntington,Boston,MA,2115,Active,FS,Eating & Drinking,2021-06-11 14:32:50.1+00,6179894590,156149,42.33622076,-71.1004284
MassArt Starbucks,,625 Huntington,Boston,MA,2115,Active,FT,Eating & Drinking w/ Take Out,2021-07-30 18:10:28.563+00,6178797000,156149,42.33622076,-71.1004284
Massiminos Cucina,,207 Endicott,Boston,MA,2113,Active,FS,Eating & Drinking,2006-12-07 18:34:00+00,6175235959,155718,42.36657769,-71.05792867
