,Number,Name,Latitude,Longitude,Public,Total docks,roundtrip_ratio,trips,log_trips
196,C32014,University of Massachusetts Boston - Campus Center,42.31218918,-71.03648586,Yes,19,0.25506262437082994,17086,4.232640402026943
197,A32053,Valenti Way at Haverhill St,42.36473899,-71.05934903,Yes,24,0.02189013918437444,78026,4.892239343395671
198,C32029,W Broadway at D St,42.3391085,-71.0514432,Yes,20,0.03302267919151797,162131,5.209866061373863
199,C32016,W Broadway at Dorchester St,42.33595898,-71.046229,Yes,17,0.030684274960277147,115173,5.061350679387878
200,C32102,Walnut Ave at School St,42.31242399,-71.09616905,Yes,19,0.17779303243521538,5827,3.76544501809015
201,D32021,Warren St at Chelsea St,42.371848,-71.060292,Yes,23,0.05025971450166442,186551,5.27079758140321
202,D32029,Washington St at Brock St,42.34895285,-71.16031677,Yes,15,0.10849041710081778,31671,4.500661776274517
203,C32005,Washington St at Lenox St,42.33509899,-71.07903779,Yes,15,0.033834537694113986,77081,4.88694734028109
204,B32026,Washington St at Melnea Cass Blvd,42.332817,-71.081198,Yes,19,0.032996451325046174,48187,4.682929889073527
205,C32006,Washington St at Rutland St,42.3385146,-71.07404083,Yes,27,0.02350633374339196,240616,5.381324502807129
206,C32038,Washington St at Talbot Ave,42.290333,-71.071806,Yes,17,0.12666666666666668,5100,3.7075701760979363
207,D32002,Washington St at Waltham St,42.34157472,-71.0689044,Yes,15,0.02016398508181289,139159,5.143511299235926
208,C32034,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586,-71.04569256,Yes,15,0.026879556053783886,161461,5.208067637935191
209,B32021,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601,-71.09627098,Yes,12,0.04904705082023888,89669,4.9526423264791
210,D32022,West End Park,42.36590788,-71.06446669,Yes,35,0.015363868419785195,41526,4.618320099624399
211,B32059,Whittier St Health Center,42.33286288,-71.09218862,Yes,19,0.017746662324975578,12284,4.089339807771031
212,D32040,Williams St at Washington St,42.306539,-71.107669,Yes,23,0.057739151354764984,33253,4.521830832336042
